period,time,start_capital,end_capital,change,change_pct,cumulative_max,drawdown,year_month
295,2024-11-30 10:02:00,164502.13110201564,167311.10813764768,2808.977035632037,1.707562702570738,167311.10813764768,0.0,2024-11
296,2024-11-30 10:03:00,167311.10813764768,167374.1534024542,63.04526480651111,0.037681457918886926,167374.1534024542,0.0,2024-11
297,2024-11-30 10:18:00,167374.1534024542,167649.08445772645,274.93105527226,0.16426135677662443,167649.08445772645,0.0,2024-11
298,2024-11-30 10:35:00,167649.08445772645,169490.36724171846,1841.2827839920064,1.0982957586364244,169490.36724171846,0.0,2024-11
299,2024-11-30 21:28:00,169490.36724171846,169490.36724171846,0.0,0.0,169490.36724171846,0.0,2024-11
300,2024-11-30 21:51:00,169490.36724171846,169490.36724171846,0.0,0.0,169490.36724171846,0.0,2024-11
301,2024-12-01 15:09:00,169490.36724171846,169490.36724171846,0.0,0.0,169490.36724171846,0.0,2024-12
302,2024-12-02 00:37:00,169490.36724171846,169490.36724171846,0.0,0.0,169490.36724171846,0.0,2024-12
303,2024-12-02 00:40:00,169490.36724171846,169484.5191357924,-5.848105926066637,-0.0034504060739489507,169490.36724171846,-0.0034504060739489507,2024-12
304,2024-12-02 00:53:00,169484.5191357924,169484.5191357924,0.0,0.0,169490.36724171846,-0.0034504060739489507,2024-12
305,2024-12-02 08:22:00,169484.5191357924,169630.0583954922,145.53925969981356,0.08587171291037284,169630.0583954922,0.0,2024-12
306,2024-12-02 08:25:00,169630.0583954922,169675.86960862548,45.81121313327458,0.027006542099081172,169675.86960862548,0.0,2024-12
307,2024-12-02 11:13:00,169675.86960862548,169509.64600272386,-166.22360590161406,-0.09796537733092253,169675.86960862548,-0.09796537733092253,2024-12
308,2024-12-02 12:21:00,169509.64600272386,169509.64600272386,0.0,0.0,169675.86960862548,-0.09796537733092253,2024-12
309,2024-12-02 12:29:00,169509.64600272386,169509.64600272386,0.0,0.0,169675.86960862548,-0.09796537733092253,2024-12
310,2024-12-02 12:46:00,169509.64600272386,169484.7703739576,-24.875628766254522,-0.014675052041495499,169675.86960862548,-0.11262605290231206,2024-12
311,2024-12-02 12:48:00,169484.7703739576,169390.20139184632,-94.5689821112901,-0.0557979232603788,169675.86960862548,-0.16836113316412127,2024-12
312,2024-12-02 19:21:00,169390.20139184632,169161.17364663488,-229.02774521143874,-0.13520719813162882,169675.86960862548,-0.3033406949248562,2024-12
313,2024-12-02 21:54:00,169161.17364663488,168382.5374957459,-778.6361508889822,-0.46029247380104804,169675.86960862548,-0.7622369143371893,2024-12
314,2024-12-02 21:56:00,168382.5374957459,167977.53995315242,-404.99754259348265,-0.24052229442362139,169675.86960862548,-1.000925859045503,2024-12
315,2024-12-03 00:15:00,167977.53995315242,167977.53995315242,0.0,0.0,169675.86960862548,-1.000925859045503,2024-12
316,2024-12-03 00:17:00,167977.53995315242,167977.53995315242,0.0,0.0,169675.86960862548,-1.000925859045503,2024-12
317,2024-12-03 03:01:00,167977.53995315242,167289.95821685702,-687.5817362953967,-0.4093295666117968,169675.86960862548,-1.4061583401763635,2024-12
318,2024-12-03 03:02:00,167289.95821685702,166990.10817842183,-299.8500384351937,-0.17923971147538922,169675.86960862548,-1.5828776574999335,2024-12
319,2024-12-03 03:29:00,166990.10817842183,166990.10817842183,0.0,0.0,169675.86960862548,-1.5828776574999335,2024-12
320,2024-12-03 06:53:00,166990.10817842183,166980.39762071625,-9.71055770557723,-0.005815049652642845,169675.86960862548,-1.5886006620308522,2024-12
321,2024-12-03 09:58:00,166980.39762071625,166980.39762071625,0.0,0.0,169675.86960862548,-1.5886006620308522,2024-12
322,2024-12-03 11:21:00,166980.39762071625,166980.39762071625,0.0,0.0,169675.86960862548,-1.5886006620308522,2024-12
323,2024-12-03 11:39:00,166980.39762071625,166882.59236837414,-97.80525234210654,-0.05857289462459181,169675.86960862548,-1.6462430672636672,2024-12
324,2024-12-03 11:55:00,166882.59236837414,166882.59236837414,0.0,0.0,169675.86960862548,-1.6462430672636672,2024-12
325,2024-12-03 20:00:00,166882.59236837414,166870.30717199008,-12.285196384065785,-0.007361580503823685,169675.86960862548,-1.6534834582588056,2024-12
326,2024-12-03 21:42:00,166870.30717199008,166870.30717199008,0.0,0.0,169675.86960862548,-1.6534834582588056,2024-12
327,2024-12-03 22:36:00,166870.30717199008,166870.30717199008,0.0,0.0,169675.86960862548,-1.6534834582588056,2024-12
328,2024-12-03 22:53:00,166870.30717199008,166870.30717199008,0.0,0.0,169675.86960862548,-1.6534834582588056,2024-12
329,2024-12-03 23:40:00,166870.30717199008,166870.30717199008,0.0,0.0,169675.86960862548,-1.6534834582588056,2024-12
330,2024-12-04 00:02:00,166870.30717199008,167275.70246890982,405.39529691974167,0.24294034318634553,169675.86960862548,-1.4145600934604834,2024-12
331,2024-12-04 01:06:00,167275.70246890982,167514.7961946937,239.09372578389593,0.14293392420715395,169675.86960862548,-1.273648055505181,2024-12
332,2024-12-04 01:19:00,167514.7961946937,167343.05689908733,-171.73929560638499,-0.10252186643070105,169675.86960862548,-1.3748641541776196,2024-12
333,2024-12-04 01:42:00,167343.05689908733,167343.05689908733,0.0,0.0,169675.86960862548,-1.3748641541776196,2024-12
334,2024-12-04 06:15:00,167343.05689908733,167343.05689908733,0.0,0.0,169675.86960862548,-1.3748641541776196,2024-12
335,2024-12-04 06:16:00,167343.05689908733,167335.4969473324,-7.5599517549271695,-0.004517636939957441,169675.86960862548,-1.3793196797466738,2024-12
336,2024-12-04 08:35:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
337,2024-12-04 08:52:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
338,2024-12-04 08:58:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
339,2024-12-04 09:24:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
340,2024-12-04 09:26:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
341,2024-12-04 10:01:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
342,2024-12-04 10:29:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
343,2024-12-04 11:51:00,167335.4969473324,167335.4969473324,0.0,0.0,169675.86960862548,-1.3793196797466738,2024-12
344,2024-12-04 12:54:00,167335.4969473324,167461.4678649602,125.97091762779746,0.07528045150363157,169675.86960862548,-1.305077586325634,2024-12
345,2024-12-04 13:20:00,167461.4678649602,167461.4678649602,0.0,0.0,169675.86960862548,-1.305077586325634,2024-12
346,2024-12-04 13:59:00,167461.4678649602,167372.98206513206,-88.4857998281368,-0.05283949851645344,169675.86960862548,-1.3572274883902222,2024-12
347,2024-12-04 15:34:00,167372.98206513206,167372.98206513206,0.0,0.0,169675.86960862548,-1.3572274883902222,2024-12
348,2024-12-04 21:34:00,167372.98206513206,167510.95445896967,137.9723938376119,0.08243408950192502,169675.86960862548,-1.2759122170108217,2024-12
349,2024-12-04 21:36:00,167510.95445896967,167828.30287071172,317.34841174204485,0.18944934841248043,169675.86960862548,-1.0888800759797834,2024-12
350,2024-12-05 09:03:00,167828.30287071172,167872.3058725707,44.00300185897504,0.026219059065903327,169675.86960862548,-1.062946511024158,2024-12
351,2024-12-05 09:18:00,167872.3058725707,167872.3058725707,0.0,0.0,169675.86960862548,-1.062946511024158,2024-12
352,2024-12-05 10:17:00,167872.3058725707,167872.3058725707,0.0,0.0,169675.86960862548,-1.062946511024158,2024-12
353,2024-12-05 10:36:00,167872.3058725707,167910.84006041213,38.53418784143287,0.022954463895124892,169675.86960862548,-1.0402360408021307,2024-12
354,2024-12-05 10:46:00,167910.84006041213,167824.78502012487,-86.05504028726136,-0.05125043758717417,169675.86960862548,-1.0909533528664543,2024-12
355,2024-12-05 10:48:00,167824.78502012487,167824.78502012487,0.0,0.0,169675.86960862548,-1.0909533528664543,2024-12
356,2024-12-05 15:09:00,167824.78502012487,167888.8574330904,64.0724129655282,0.03817815882072776,169675.86960862548,-1.053191699949444,2024-12
357,2024-12-05 15:10:00,167888.8574330904,167897.2579792353,8.400546144897817,0.0050036353057234485,169675.86960862548,-1.0482407625154562,2024-12
358,2024-12-05 15:11:00,167897.2579792353,167974.1996456296,76.9416663942975,0.04582663667075091,169675.86960862548,-1.0028944993303779,2024-12
359,2024-12-05 15:20:00,167974.1996456296,168047.71124002858,73.51159439899493,0.043763622362291504,169675.86960862548,-0.9595697799294655,2024-12
360,2024-12-05 16:33:00,168047.71124002858,167929.92128886087,-117.78995116770966,-0.07009316003088316,169675.86960862548,-1.0289903471788948,2024-12
361,2024-12-05 16:48:00,167929.92128886087,167994.59627931096,64.67499045009026,0.0385130832871892,169675.86960862548,-0.9908735598011318,2024-12
362,2024-12-05 18:55:00,167994.59627931096,167994.59627931096,0.0,0.0,169675.86960862548,-0.9908735598011318,2024-12
363,2024-12-05 21:16:00,167994.59627931096,167994.59627931096,0.0,0.0,169675.86960862548,-0.9908735598011318,2024-12
364,2024-12-05 21:29:00,167994.59627931096,167994.59627931096,0.0,0.0,169675.86960862548,-0.9908735598011318,2024-12
365,2024-12-05 22:51:00,167994.59627931096,167994.59627931096,0.0,0.0,169675.86960862548,-0.9908735598011318,2024-12
366,2024-12-06 01:08:00,167994.59627931096,167994.59627931096,0.0,0.0,169675.86960862548,-0.9908735598011318,2024-12
367,2024-12-06 02:47:00,167994.59627931096,167891.71831223927,-102.87796707169036,-0.06123885490973979,169675.86960862548,-1.051505615089246,2024-12
368,2024-12-06 06:14:00,167891.71831223927,167792.79423238192,-98.92407985735917,-0.058921357677323635,169675.86960862548,-1.1098074113821057,2024-12
369,2024-12-06 09:56:00,167792.79423238192,167792.79423238192,0.0,0.0,169675.86960862548,-1.1098074113821057,2024-12
370,2024-12-06 10:02:00,167792.79423238192,167790.99679650267,-1.7974358792416751,-0.0010712235215252126,169675.86960862548,-1.1108667463855966,2024-12
371,2024-12-07 19:40:00,167790.99679650267,167790.99679650267,0.0,0.0,169675.86960862548,-1.1108667463855966,2024-12
372,2024-12-07 19:41:00,167790.99679650267,167790.99679650267,0.0,0.0,169675.86960862548,-1.1108667463855966,2024-12
373,2024-12-08 02:37:00,167790.99679650267,167790.99679650267,0.0,0.0,169675.86960862548,-1.1108667463855966,2024-12
374,2024-12-08 18:49:00,167790.99679650267,167724.21417456347,-66.78262193920091,-0.039801075870712556,169675.86960862548,-1.1502256853397577,2024-12
375,2024-12-09 14:40:00,167724.21417456347,167724.21417456347,0.0,0.0,169675.86960862548,-1.1502256853397577,2024-12
376,2024-12-09 20:46:00,167724.21417456347,167134.18006322742,-590.0341113360482,-0.3517882699524556,169675.86960862548,-1.4979675962532077,2024-12
377,2024-12-09 20:48:00,167134.18006322742,166316.06236771843,-818.1176955089904,-0.4894975373675772,169675.86960862548,-1.9801326191265611,2024-12
378,2024-12-09 20:51:00,166316.06236771843,165909.968907157,-406.0934605614457,-0.24416971805380325,169675.86960862548,-2.2194674529471516,2024-12
379,2024-12-09 20:52:00,165909.968907157,165682.11988225282,-227.84902490416425,-0.13733293207454478,169675.86960862548,-2.353752325292124,2024-12
380,2024-12-10 01:33:00,165682.11988225282,165682.11988225282,0.0,0.0,169675.86960862548,-2.353752325292124,2024-12
381,2024-12-10 04:55:00,165682.11988225282,165598.13126678154,-83.98861547128763,-0.05069262484749516,169675.86960862548,-2.4032517713035197,2024-12
382,2024-12-10 04:56:00,165598.13126678154,166500.06518643134,901.933919649804,0.5446522329390133,169675.86960862548,-1.8716889028000574,2024-12
383,2024-12-10 09:32:00,166500.06518643134,166500.06518643134,0.0,0.0,169675.86960862548,-1.8716889028000574,2024-12
384,2024-12-10 22:00:00,166500.06518643134,165084.50838720394,-1415.556799227401,-0.8501839309446466,169675.86960862548,-2.7059600354558238,2024-12
385,2024-12-11 01:55:00,165084.50838720394,165084.50838720394,0.0,0.0,169675.86960862548,-2.7059600354558238,2024-12
386,2024-12-11 02:03:00,165084.50838720394,165084.50838720394,0.0,0.0,169675.86960862548,-2.7059600354558238,2024-12
387,2024-12-11 02:34:00,165084.50838720394,164969.68484488677,-114.82354231717181,-0.06955440182664167,169675.86960862548,-2.773632322966136,2024-12
388,2024-12-11 23:07:00,164969.68484488677,164969.68484488677,0.0,0.0,169675.86960862548,-2.773632322966136,2024-12
389,2024-12-13 04:32:00,164969.68484488677,164969.68484488677,0.0,0.0,169675.86960862548,-2.773632322966136,2024-12
390,2024-12-13 04:37:00,164969.68484488677,164969.68484488677,0.0,0.0,169675.86960862548,-2.773632322966136,2024-12
391,2024-12-13 04:58:00,164969.68484488677,164907.3546639103,-62.33018097648164,-0.037782809026450995,169675.86960862548,-2.8103671757889046,2024-12
392,2024-12-13 13:54:00,164907.3546639103,164907.3546639103,0.0,0.0,169675.86960862548,-2.8103671757889046,2024-12
393,2024-12-14 19:45:00,164907.3546639103,164907.3546639103,0.0,0.0,169675.86960862548,-2.8103671757889046,2024-12
394,2024-12-16 00:38:00,164907.3546639103,164907.3546639103,0.0,0.0,169675.86960862548,-2.8103671757889046,2024-12
395,2024-12-16 07:08:00,164907.3546639103,164389.31960339125,-518.0350605190324,-0.31413702655943676,169675.86960862548,-3.115675798466916,2024-12
396,2024-12-16 08:28:00,164389.31960339125,164389.31960339125,0.0,0.0,169675.86960862548,-3.115675798466916,2024-12
397,2024-12-16 19:06:00,164389.31960339125,165138.51341671444,749.1938133231888,0.45574360617265636,169675.86960862548,-2.6741316855348414,2024-12
398,2024-12-16 19:07:00,165138.51341671444,167613.64337470452,2475.1299579900806,1.4988205396667698,169675.86960862548,-1.2153915808286049,2024-12
399,2024-12-16 19:17:00,167613.64337470452,166773.08174429313,-840.5616304113937,-0.5014875958112175,169675.86960862548,-1.710784138621433,2024-12
400,2024-12-16 19:52:00,166773.08174429313,169033.85223323692,2260.770488943788,1.355596757761029,169675.86960862548,-0.3783787151758461,2024-12
401,2024-12-16 21:46:00,169033.85223323692,167344.25046784864,-1689.6017653882736,-0.9995641364529285,169675.86960862548,-1.3741607136919054,2024-12
402,2024-12-17 18:29:00,167344.25046784864,167344.25046784864,0.0,0.0,169675.86960862548,-1.3741607136919054,2024-12
